id,title,duration,view_count,comment_count,like_count,upload_date,duration_string,aspect_ratio
7002646611037867269,"#ad ""Travel hack: @Amazon Prime Student  offers more leg room ✈️ #lea...",24,22500000,20600,2300000,20210831,24,0.56
7012302212135259398,#adv My first FASHION SHOW!! I’M SO HAPPY!! Thank to @BOSS ! I dedica...,30,21200000,24600,2400000,20210926,30,0.56
7171858926949010693,#BinanceMan is back to ease you into your Web3 journey with @binance 🤲🏾,36,6400000,19800,289000,20221130,36,0.56
6832696299565976838,#checcozalone #foryoupage #foryou,13,151900,61,20400,20200530,13,0.56
6824161188692167942,#ciseicifai #foryoupage #foryou #foryoupage #messico,15,255900,101,33500,20200507,15,0.56
6836035483584236806,#ciseicifai #nopressure #foryoupage #foryou @ghaliofficial,14,672300,353,97600,20200608,14,0.56
6850773547040787717,#clonesquad #foryoupage #foryou #comic #charlidamelio @charlidamelio,13,601000,295,100000,20200718,13,0.56
6817856080450800902,#clonesquad #foryoupage #foryou #coronavirus,14,447600,102,44700,20200420,14,0.56
6829235351681355013,#clonesquad #foryoupage #foryou,13,783800,320,97700,20200521,13,0.56
6837152080365423878,#clonesquad #nopressure #foryoupage #foryou,9,277100,78,41400,20200611,9,0.56
6810060565503986949,#comedy #coronavirus #scuola#pandemia,15,395300,172,39200,20200330,15,0.56
6808932863392632070,#comepensidicantare,15,235800,163,15800,20200327,15,0.56
6814515522177273094,#coranavirus #foyou #foyoupage,10,152200,78,16400,20200411,10,0.56
6833813377043729670,#distorto #mamma #foryoupage #foryou,14,301500,178,52600,20200602,14,0.56
6810804571565313285,#distorto #pescedaprile,12,839500,313,101700,20200401,12,0.56
6809620152703880454,#distorto,15,2500000,759,226300,20200329,15,0.56
6847559944829455621,#duetto con @4brothersinblue #foryoupage #foryou #coops #viral,8,256000,101,36000,20200709,8,1.12
6852368289537051909,#duetto con @abighead #foryou #foryoupage #comic #ritratto,10,305000,86,41400,20200722,10,0.56
6864241255698795778,#duetto con @alexahcagle #greenscreen #foryoupage #foryou #comic #ironia,11,214200,136,29700,20200823,11,1.12
6867959140560555266,#duetto con @anna.laura.sao #foryoupage #foryou #comic #comedy #ironi...,19,165000,77,20900,20200902,19,0.56
6889801140565740802,#duetto con @annamarzella #foryoupage #foryou #comic,23,272900,99,43000,20201031,23,1.12
6928736795567885574,#duetto con @aom_aom70,12,1400000,401,102800,20210213,12,1.12
6915836658252320001,#duetto con @bigmike_675 #foryoupage  #foryou #comic #tiktokamerica,8,393900,70,48600,20210109,8,1.12
7042335537826417925,#duetto con @bovann Duet with me 😉#learnfromkhaby #learnwithtiktok #i...,15,17500000,11700,1600000,20211216,15,1.12
6900516769165790466,#duetto con @brycebuse3 #foryoupage #foryou #comic,10,351700,297,48500,20201129,10,1.12
6890910885850729729,#duetto con @cagritaner #foryoupage #foryou #comic,31,267800,65,43500,20201103,31,0.56
6875260996634660097,#duetto con @chocolatefatboy #foryoupage #foryou #tiktokamerica #iron...,9,180000,145,26500,20200922,9,1.12
6886882529119407362,#duetto con @dest_time @dest_time #desttime #anime #manga  mi ha desc...,59,157900,175,19200,20201023,59,1.12
6888025306712657154,#duetto con @doctorsango #foryoupage #foryou #tiktokamerica #comic,10,580200,393,79900,20201026,10,0.56
6890153396414762242,#duetto con @donmatteoo,17,254300,110,38700,20201101,17,1.12
6908050114682588418,#duetto con @er.gennaro #foryoupage #foryou #comic,27,345300,146,44900,20201219,27,1.12
6902807328966462722,#duetto con @esportpalace #foryoupage #foryou,22,486800,137,79500,20201205,22,0.56
6941452117336968453,#duetto con @esportpalace,19,6400000,1099,477600,20210319,19,0.56
6943672118634630406,#duetto con @fishball__,10,9900000,910,456600,20210325,10,1.12
7023383830018968838,#duetto con @foodies you are a genius#learnfromkhaby #learnontiktok #...,11,74100000,38000,6800000,20211026,11,1.12
6872665120292523265,#duetto con @france....vs.usa la persona dopo la @ tifava la Francia ...,18,215200,252,26500,20200915,18,0.56
6869827580892171522,#duetto con @hassanverinov #foryoupage #foryou #comedy,13,26400,91,4791,20200907,13,0.56
6836799043016903941,#duetto con @helloitsleti,15,275300,108,31500,20200610,15,1.12
6916951370629139714,#duetto con @iamemanuele #foryoupage #comic #tiktokitalia,12,350600,156,34900,20210112,12,1.12
6910547332454944001,#duetto con @jackvinsart #foryoupage #foryou #comic,10,301300,71,28200,20201226,10,1.12
6872069168527576322,#duetto con @jcc_art #foryoupage #foryou #dragonball #fanart grazie d...,5,149300,49,18900,20200913,5,0.56
6911766201639243009,#duetto con @john2funny #foryoupage #foryou #ironia #comic,20,225900,92,17400,20201229,20,1.12
6896176202831219969,#duetto con @juzi_draws #foryoupage #foryou #anime,15,422400,151,74700,20201117,15,1.12
6848160053913029893,#duetto con @kentucky.countrygirl0214 #foryoupage #comic #viral #foryou,8,199600,119,21700,20200711,8,1.12
6858621383291735298,#duetto con @kingpelato conclusione della catena 😭😭🎉🎉🎉❤️,10,162200,79,18300,20200808,10,1.12
6892029774496042242,#duetto con @kola_sucre_officiel bruuu#foryoupage #foryou #boxe,25,260100,410,37000,20201106,25,1.12
6913528394084896001,#duetto con @labbruttaggente hahahaha sei un grande ❤️,55,592000,239,105600,20210103,55,1.12
6995186830366739718,#duetto con @lilnasx 🤲🏾#learnfromkhaby #imparacontiktok,7,49400000,150400,5300000,20210811,7,1.12
6915729348645473538,#duetto con @lisatezlaw #foryoupage #foryou #comic,9,300500,76,28700,20210109,9,1.12
6888290988683562242,#duetto con @mattia.de.luca #foryoupage #foryou #ironia tagga un tuo ...,23,461400,372,73000,20201027,23,1.12
6887641595424951553,#duetto con @mollymollybot siamo identici #foryou #comic #foryoupage,11,321900,160,44700,20201025,11,1.12
6851999023889403141,#duetto con @nikkojenkinss #foryou #comic #foryoupage,6,445900,122,32700,20200721,6,1.12
6920569886959815937,#duetto con @nunziolarrr hahahaha ottimo desiderio #foryou,27,437900,78,35200,20210122,27,1.12
6891381946845351170,#duetto con @officialfabiojackson non ci credoooo#foryoupage #foryou ...,14,277400,151,36100,20201104,14,1.12
6910935864759602434,#duetto con @rifletti.un.secondo_ #blacklivesmatter,43,355600,536,44600,20201227,43,0.56
6916494661804641537,#duetto con @rithikrajan316,12,342800,72,29100,20210111,12,1.12
6837398727586548997,#duetto con @samuellopez_ #foryoupage #foryou,5,210600,510,25500,20200612,5,1.12
6917989746845224193,#duetto con @tae2004tae #foryoupage #foryou,15,405200,91,36100,20210115,15,1.12
6933556527483604229,#duetto con @that2ndtaberkid #greenscreen,7,3300000,2358,355600,20210226,7,1.12
6860174264474127618,#duetto con @thenobleking epico dovevo per forza duettare #duetto #fo...,13,411800,140,60400,20200812,13,1.12
6889043529969061121,#duetto con @tillmoss #foryoupage #foryou,7,187500,64,22800,20201029,7,0.56
6900259795312381186,#duetto con @tyleebeauty #foryoupage #foryou #comic,15,231700,122,28900,20201128,15,1.12
6880935143591251201,#duetto con @tysoooo #greenscreen #foryou #foryoupage #comic #amongus...,8,164900,93,23300,20201007,8,1.12
6906581916867104001,#duetto con @vcruzzs #foryoupage #foryou #comic,8,185300,75,17300,20201215,8,1.12
6834934947485158662,#duetto con @williamstwins #foryoupage #foryou,6,353100,486,43300,20200605,6,0.56
6928477709119114501,#duetto con @yung.nello #foryoupage #foryou #comic,9,1100000,134,74000,20210212,9,1.12
6964771050815032582,#eatabowlofrigatonipastaonmay242021 🥣🍝🎶 #learnfromkhaby how to celebr...,14,34700000,6191,2600000,20210521,14,0.56
6849272227167325446,#foryoupage #comic #foryou,8,211300,68,28700,20200714,8,0.56
6948744896991825157,#foryoupage #comic #scuola,9,28700000,4422,1700000,20210408,9,0.56
6947262150578556165,#foryoupage #comic,8,48400000,28200,6300000,20210404,8,0.56
6837066309792959749,#foryoupage #duetto #foryou,15,277300,114,44100,20200611,15,0.56
6830098164968705286,#foryoupage #foryou #amadeopreziosi @ameprecious,21,478500,145,64400,20200523,21,0.56
6827501450923461893,#foryoupage #foryou #baseball #duetto,12,125600,78,13100,20200516,12,0.56
6833686278513462534,#foryoupage #foryou #cantina,8,184900,130,27000,20200602,8,0.56
6826016378139479302,#foryoupage #foryou #comdey #uomonero,8,115000,81,13700,20200512,8,0.56
6828490880438111493,#foryoupage #foryou #comedy,9,2300000,2082,213700,20200519,9,0.56
6841605035470621958,#foryoupage #foryou #comic #badboys @6ix9ine @slings,12,390600,222,56600,20200623,12,0.56
6867603066028313858,#foryoupage #foryou #comic #comedy,13,317800,154,50100,20200901,13,0.56
6844448909780126982,#foryoupage #foryou #comic #ironia #esami #scuola #prof,9,379600,166,56100,20200701,9,0.56
6841973968774139142,#foryoupage #foryou #comic #ironia #family,15,894100,263,120300,20200624,15,0.56
6841852216911957254,#foryoupage #foryou #comic #ironia #uomonero,9,372100,132,63900,20200624,9,0.56
6900895572081872130,#foryoupage #foryou #comic,13,3800000,1747,449900,20201130,13,0.56
6817484834584235269,#foryoupage #foryou #coronavirus #ironic,12,167100,110,18500,20200419,12,0.56
6835171429156211973,#foryoupage #foryou #crush,12,204500,51,30700,20200606,12,0.56
6829603909418503430,#foryoupage #foryou #fortnite,9,721700,308,82000,20200522,9,0.56
6833069308113915141,#foryoupage #foryou #fumagalli da guardare fino alla fine hahaha,30,356400,83,55000,20200531,30,0.56
6834578120943701253,#foryoupage #foryou #macchina #frash,14,212500,59,35700,20200604,14,0.56
6831089467260996870,#foryoupage #foryou #napoli,15,326400,414,45900,20200526,15,0.56
6834803241444838661,#foryoupage #foryou #prigione #foto,12,613800,207,68900,20200605,12,0.56
6928005697862896902,#foryoupage #foryou #sorriso,12,981800,1058,85500,20210211,12,0.56
6838150685935144198,#foryoupage #foryou #trend #viral,23,367000,126,57200,20200614,23,0.56
6840001569774259461,#foryoupage #foryou #viral  canzone di @1000_velaska,10,137400,41,21600,20200619,10,0.56
6839742795586997509,#foryoupage #foryou #viral #duetto,9,145600,124,22100,20200618,9,0.56
6835664633928453381,#foryoupage #foryou #viral,7,130100,54,15500,20200607,7,0.56
6828987695126170885,#foryoupage #foryou,13,393900,111,69200,20200520,13,0.56
6841482899045371142,#foryoupage #ironia #foryou #amico,9,334200,141,66500,20200623,9,0.56
6813425414246108422,#foryoupage #quarantena #ps4 #foryou,5,442400,182,28100,20200408,5,0.56
6834182974456581382,#foryoupage #salvini #foryou,7,183900,143,22700,20200603,7,0.56
6813031252451462405,#foryoupage #tiktok,15,161200,78,14500,20200407,15,0.56
6814449345417448710,#foyou #kisschallenge,8,136200,115,11500,20200411,8,0.56
6807808386218953990,#fratellobianco,27,464200,1139,26700,20200324,27,0.56
6811546823396822277,#fyp #foryoupage,9,242300,119,16700,20200403,9,0.56
6854996982788852997,#greenscreen #foryou #comic #foryoupage,9,155300,69,20500,20200729,9,0.56
6933289023301537030,#greenscreen #foryou #comic,11,1600000,267,137100,20210225,11,0.56
6946897482446064902,#greenscreen #foryoupage #comic,21,24300000,40400,2300000,20210403,21,0.56
6949484304153971974,#greenscreen #foryoupage #dmx,15,33800000,8248,2700000,20210410,15,0.56
6842595008348966150,#greenscreen #foryoupage #foryou #comic #trend,8,225200,113,36400,20200626,8,0.56
6834548562529914117,#greenscreen #foryoupage #foryou 😕,11,117800,88,15500,20200604,11,0.56
6838514305202212101,#greenscreen #foryoupage #foryou,8,201900,113,30600,20200615,8,0.56
6811488861579988230,#greenscreen,9,275800,821,16900,20200403,9,0.56
6831470051116289285,#horror #foryoupage #foryou,8,594100,372,87300,20200527,8,0.56
6807081117380922629,#iorestoacasa #quarantena,9,597300,420,28700,20200322,9,0.56
6842965052979432710,#ironia #foryoupage #comic #foryou #viral #hopresoilmuro,7,139400,49,18700,20200627,7,0.56
7156259205857414405,#KhabyChallenge!🤣 Let’s do it and mention me!😛I wanna see you all doi...,35,36900000,34600,4500000,20221019,35,0.56
6953610726955126022,#LearnFromKhaby #ImparaConTikTok #LearnWithTikTok,25,192700000,101500,20400000,20210421,25,0.56
6811918094571687173,#migliaiadime #clonesquad,15,911700,429,111000,20200404,15,0.56
6846806437046324486,#nopressure #babysitter #foryoupage #viral #foryou #comic,7,276600,56,39900,20200707,7,0.56
6841231169984449797,#nopressure #clonesquad #foryoupage #foryou #beethoven #bianchi #neri,15,517700,315,86300,20200622,15,0.56
6824919683884420358,#nopressure #clonesquad #foryoupage #foryou,6,133100,72,16100,20200509,6,0.56
6811797057452428549,#nopressure #DanceAwesome #foryoupage,15,488500,193,63400,20200404,15,0.56
6847915323908410630,#nopressure #foryoupage #comic #viral #kobebryant #paulwalker,8,613900,151,71800,20200710,8,0.56
6829727352348577029,#nopressure #foryoupage #foryou #carabinieri,12,877100,546,147400,20200522,12,0.56
6817005104152071429,#nopressure #foryoupage #foryou #duetto,8,150000,77,16900,20200418,8,0.56
6827130473593031942,#nopressure #foryoupage #foryou #trevisscott,11,148300,75,19400,20200515,11,0.56
6836777486685048069,#nopressure #foryoupage #foryou #viral,15,450500,216,73200,20200610,15,0.56
6823419707635354886,#nopressure #foryoupage #foryou,15,709800,617,113000,20200505,15,0.56
6848311479121251590,#nopressure #salvini #foryoupage #foryou,15,690800,1606,111600,20200711,15,0.56
6809361227819552006,#nopressure,11,232300,189,16200,20200328,11,0.56
7290234274354072864,#nowar ,85,17600000,28900,1600000,20231015,1:25,0.56
6823050856393395461,#papa #foryoupage #foryou,8,501700,123,66300,20200504,8,0.56
6812544479652760837,#playstation4 #after #foryoupage #friends,10,162100,97,15200,20200406,10,0.56
6899138407566544129,#questoèilmiosogno Essere come lui ❤️ Ed i vostri sogni nella vita qu...,11,324400,296,44800,20201125,11,0.56
6936250330606800133,#sanremo2021 @random_solo  la play non ti pacca mia #comic,13,1700000,166,83000,20210305,13,0.56
7086121537740344581,#stitch con @adammelchor  🙆🏿‍♂️ #learnfromkhaby #learnontiktok @tiktok,15,35500000,14800,3200000,20220413,15,0.56
6897929401032396034,#stitch con @antonchaley #foryoupage #foryou #comic,14,23700000,17300,2600000,20201122,14,0.56
6914724943959837953,#stitch con @applemyaa #foryoupage #foryou #comic,13,3000000,1436,288500,20210106,13,0.56
6908307371634773250,#stitch con @bigmike_675 #nopressure #foryoupage #foryou #comic,8,334700,318,43000,20201220,8,0.56
6940592728703126790,#stitch con @caterinasolimene,13,4000000,702,305900,20210317,13,0.56
6949222855301238021,#stitch con @chiropractor.videos #differente,6,43300000,23600,4000000,20210409,6,0.56
6938854132270910725,#stitch con @digi0z #anime,21,2700000,664,112400,20210312,21,0.56
6938102871472999685,#stitch con @irelandkendrick,8,2800000,271,144700,20210310,8,0.56
6932824800159141125,#stitch con @itz.denisamocanu,15,2400000,3291,255600,20210224,15,0.56
6898291715464023297,#stitch con @jm1tchell non e andata come volevo #foryoupage #foryou #...,12,469600,346,88500,20201123,12,0.56
6939853055642914053,#stitch con @juliaan.care,9,66000000,42400,10400000,20210315,9,0.56
6905347711902551298,#stitch con @juliafox038711 #greenscreen #foryoupage #foryou,13,1300000,388,71200,20201212,13,0.56
6944306446699924741,#stitch con @krasivaya_688,15,137800000,50000,11600000,20210327,15,0.56
6920292337528655106,#stitch con @le_moku #foryoupage #foryou,12,542800,592,51700,20210121,12,0.56
6902748933391453441,#stitch con @lyrea_as #foryoupage #foryou #comic #latte,11,314200,276,25600,20201205,11,0.56
6906200855972809986,#stitch con @meiyubee #foryoupage #comic #foryou,6,343200,1046,34700,20201214,6,0.56
7017086961307454726,#stitch con @mnmnooxx0 #learnfromkhaby #imparacontiktok 🥷🏽✨,11,52600000,35900,5600000,20211009,11,0.56
6945402241046105350,#stitch con @mrs.lillyy,15,24900000,4427,2100000,20210330,15,0.56
6936905270983511301,#stitch con @naeury,15,2400000,1022,177800,20210307,15,0.56
6902385564897578241,#stitch con @parrkerrrrr #greenscreen sarò l’unica che vede quello #f...,9,353100,179,30400,20201204,9,0.56
6901296859575274753,#stitch con @photographer585 tagga un amico single #foryoupage #foryo...,10,452100,249,51900,20201201,10,0.56
7020082726438997254,#stitch con @rafaelliglesias Let's just say He breaks a lot of eggs t...,15,21200000,10900,2200000,20211017,15,0.56
6934019950474562821,#stitch con @reginagglz,10,2100000,1125,218900,20210227,10,0.56
6905730156661378306,#stitch con @screwballjoe #foryoupage #comic #police #america,8,296300,182,38700,20201213,8,0.56
6919461528219553026,#stitch con @tomhiddlestwin #teletrasporto #mendi #viral,13,1300000,431,149600,20210119,13,0.56
6940614366857301253,#stitch con @www.2percentmilk.com,10,4700000,1793,436300,20210317,10,0.56
6881681764750740737,#vabene #sercho@sesesercho #foryoupage #foryou #comic #blackhumor,13,196300,70,33900,20201009,13,0.56
