id,title,duration,view_count,comment_count,like_count,upload_date,duration_string,aspect_ratio
dEOlvTqYUNo,#1 MOST INSANE MAGNET LIFE HACK EVER,308,26314951,17000.0,519157.0,20170324,5:08,1.78
r7f0L48dHpc,$1  = One Year of Clean Water,32,171005441,19000.0,4626567.0,20250802,32,0.56
uNu6XEPTy5g,$1 or Mystery Vial?,34,48807151,14000.0,1426176.0,20260407,34,0.56
iogcY_4xGjo,"$1 vs $1,000,000 Hotel Room!",940,444833369,116000.0,7674183.0,20221022,15:40,1.78
pAnGwRiQ4-4,"$1 vs $1,000,000,000 Futuristic Tech!",1383,148743254,89000.0,3111775.0,20260124,23:03,1.78
_AbFXuGDRTs,"$1 vs $1,000,000,000 Nuclear Bunker!",1037,174539164,38000.0,2985253.0,20250830,17:17,1.78
48h57PspBec,"$1 vs $1,000,000,000 Yacht!",887,552729315,167000.0,8441794.0,20230610,14:47,1.78
Wdjh81uH6FU,"$1 vs $10,000,000 Job!",939,318053504,62000.0,4920445.0,20231125,15:39,1.78
erQ_9yEz0ls,"$1 vs $100,000 Firework!",668,267786509,181000.0,5560133.0,20200703,11:08,1.78
KrLj6nc516A,"$1 vs $100,000,000 Car!",988,563288223,159000.0,8178210.0,20230916,16:28,1.78
3ryID_SwU5E,"$1 vs $100,000,000 House!",1022,427506818,136000.0,6504699.0,20231014,17:02,1.78
V6In4tmd-w8,"$1 vs $25,000 VFX",23,111183373,14000.0,2590847.0,20250619,23,0.56
jObOjhUkf50,"$1 vs $250,000 Vacation!",957,440230558,109000.0,6830585.0,20230812,15:57,1.78
krsBRQbOPQ4,"$1 vs $250,000,000 Private Island!",1019,395746624,103000.0,6011657.0,20240127,16:59,1.78
hTSaweR8qMI,"$1 vs $500,000 Date",1042,184620737,63000.0,3599441.0,20250607,17:22,1.78
Xj0Jtjg3lHQ,"$1 vs $500,000 Experiences!",1060,276085931,56000.0,5109256.0,20241102,17:40,1.78
1WEAJ-DFkHE,"$1 vs $500,000 Plane Ticket!",740,561877866,175000.0,9066648.0,20230401,12:20,1.78
tnTPaLOaHz8,"$10,000 Every Day You Survive In A Grocery Store",1292,525524635,89000.0,7577943.0,20231202,21:32,1.78
U_LlX4t0A9I,"$10,000 Every Day You Survive In The Wilderness",1570,382240757,342000.0,9015299.0,20240601,26:10,1.78
hD1YtmKXNb4,"$10,000 Every Day You Survive Prison",839,247909545,127000.0,5640761.0,20220409,13:59,1.78
gKVZz4kcuns,"$10,000 Games Of Rock Paper Scissors",772,18669373,24000.0,511673.0,20181104,12:52,1.78
NPYPXWJBTWM,"$10,000 Girl Scout Cookies",23,746694451,19000.0,14351128.0,20230311,23,0.56
7K-yxGWYsnk,"$10,000 Human Shuffleboard",39,612819854,6000.0,6879003.0,20250422,39,0.56
vT_gRRMjDi0,$100 GIVEAWAY PRANK (NO WEAPONS INVOLVED),290,74722,247.0,1933.0,20160403,4:50,1.78
c0v8OPItCOg,"$100,000,000 Bathroom",50,382263211,23000.0,12861941.0,20231017,50,0.56
IQxea9UB1nQ,"$100,000,000 Car Doors",28,1322807238,42000.0,30046572.0,20230919,28,0.56
xBLxMfO3pDw,$10000 Ice Sculpture Vs Flame,897,23957302,29000.0,503030.0,20180501,14:57,1.78
ZV7rU6lnAKQ,"$200,000 Youtuber Battle Royale",816,57133851,141000.0,1740656.0,20190312,13:36,1.78
0e3GPea1Tyg,"$456,000 Squid Game In Real Life!",1541,932731773,651000.0,20008717.0,20211124,25:41,1.78
X1jMMFOqxEw,"$50,000 Game Of Extreme Hide And Seek - Challenge",827,170398240,50000.0,3124788.0,20191128,13:47,1.78
